,comparison,doi,metric,score_earned,score_total
132,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-F4-01M,2,2
133,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-A1-01M,0,1
134,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-I1-01M,1,2
135,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-I2-01M,0,1
136,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-I3-01M,0,1
137,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-R1-01MD,1,4
138,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-R1.1-01M,2,2
139,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-R1.2-01M,1,2
140,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-R1.3-01M,0,1
141,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-R1.3-02D,0,1
142,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-A1-03D,0,1
143,http://orkg.org/orkg/resource/R141336,10.48366/r141336,FsF-A1-02M,1,1
144,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-F1-01D,1,1
145,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-F1-02D,1,1
146,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-F2-01M,2,2
147,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-F3-01M,0,1
148,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-F4-01M,2,2
149,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-A1-01M,0,1
150,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-I1-01M,1,2
151,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-I2-01M,0,1
152,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-I3-01M,0,1
153,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-R1-01MD,1,4
154,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-R1.1-01M,2,2
155,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-R1.2-01M,1,2
156,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-R1.3-01M,0,1
157,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-R1.3-02D,0,1
158,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-A1-03D,0,1
159,http://orkg.org/orkg/resource/R141349,10.48366/r141349,FsF-A1-02M,1,1
160,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-F1-01D,1,1
161,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-F1-02D,1,1
162,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-F2-01M,2,2
163,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-F3-01M,0,1
164,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-F4-01M,2,2
165,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-A1-01M,0,1
166,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-I1-01M,1,2
167,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-I2-01M,0,1
168,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-I3-01M,0,1
169,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-R1-01MD,1,4
170,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-R1.1-01M,2,2
171,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-R1.2-01M,1,2
172,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-R1.3-01M,0,1
173,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-R1.3-02D,0,1
174,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-A1-03D,0,1
175,http://orkg.org/orkg/resource/R141369,10.48366/r141369,FsF-A1-02M,1,1
176,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-F1-01D,1,1
177,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-F1-02D,1,1
178,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-F2-01M,2,2
179,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-F3-01M,0,1
180,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-F4-01M,2,2
181,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-A1-01M,0,1
182,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-I1-01M,1,2
183,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-I2-01M,0,1
184,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-I3-01M,0,1
185,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-R1-01MD,1,4
186,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-R1.1-01M,2,2
187,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-R1.2-01M,1,2
188,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-R1.3-01M,0,1
189,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-R1.3-02D,0,1
190,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-A1-03D,0,1
191,http://orkg.org/orkg/resource/R141385,10.48366/r141385,FsF-A1-02M,1,1
192,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-F1-01D,1,1
193,http://orkg.org/orkg/resource/R141810,10.48366/r141810,FsF-F1-02D,1,1
